Objetos,RA,DEC,z,Tipos
AM 0034-351,00 37 04.664,-34 56 24.26,0.029657,E.Rb
AM 0045-230,00 47 34.795,-22 48 00.24,0.021872,E.Ra
AM 0053-353,00 56 19.563,-35 14 52.31,0.047947,HL
AM 0054-634,00 56 51.290,-63 28 51.88,0.0374,E.Ra
AM 0058-220,01 00 46.9,-21 43 27,–,E.Rc
AM 0058-311,01 00 44.610,-30 55 49.16,0.07776,E.Ra
AM 0058-665,01 00 15.172,-66 37 06.99,0.070232,E.Rb
AM 0102-610,01 04 56.5,-60 48 58,–,E.Rc
AM 0103-304,01 06 10.322,-30 28 29.16,0.022139,H
AM 0115-463,01 18 10.151,-46 14 32.27,0.059628,E.Rb
AM 0126-525,01 28 25.324,-52 38 09.24,0.011508,E.Rc
AM 0126-680,01 28 02.912,-67 50 36.79,0.023753,H
AM 0141-362,01 43 44.404,-36 05 19.76,0.017692,HL
AM 0147-350,01 49 43.711,-34 49 51.74,0.0275,H
AM 0154-353,01 57 06,-35 18 54,–,E.Rc
AM 0155-815,01 53 54,-81 38.3,–,E.Rb
AM 0157-311,01 59 37,-31 01.3,0.05918,E.Rc
AM 0200-581,02 01 50.57,-57 56 53.6,0.02355,E.Rc
AM 0212-250,02 14 49.193,-24 51 02.49,0.037836,E.Ra
AM 0229-444,02 31 38.764,-44 31 27.37,0.017829,HL
AM 0240-242,02 42 32.171,-24 13 51.53,0.084422,E.Rc
AM 0318-610,03 19 37.8,-60 57 03,–,E.Rc
AM 0329-715,03 29 43.7,-71 45 25,–,H
AM 0401-641,04 01 42.788,-64 05 44.92,–,E.Rb
AM 0403-555,04 04 16.406,-55 46 23,–,E.Rb
AM 0404-271,04 06 29.394,-27 09 24.67,0.088204,E.Rc
AM 0411-680,04 11 20.589,-67 55 14.63,0.054321,E.Rb
AM 0412-525,04 13 50.5,-52 47 43,–,H
AM 0413-590,04 14 27.1,-58 57 57,–,E.Ra
AM 0417-391,04 19 38.992,-39 10 25.70,0.050585,E.Rc
AM 0420-440,04 22 12.848,-43 58 17.36,0.014917,H
AM 0425-421,04 26 36.896,-42 05 37.25,–,HL
AM 0437-314,04 39 40.556,-31 42 38.03,–,E.Rc
AM 0437-644,04 37 54.1,-64 39 01,–,E.Ra
AM 0438-503,04 39 20.825,-50 31 50.56,–,E.Rc
